Image Name,Description,Download Count,Stars Count,Tags,Last Updated,Official Status
balenalib/generic-aarch64-ubuntu-node,This image is part of the balena.io base image series for IoT devices.,100K+,0,"Languages & Frameworks, Internet of Things, Operating Systems",balenalib,N/A,Not Official
airbyte/source-mongodb-v2,N/A,100K+,0,,Airbyte,N/A,Not Official
bitnami/drupal-nginx,🛑 DEPRECATED Bitnami Docker Image for Drupal with NGINX,100K+,9,,VMware,N/A,Not Official
projectcontour/contour,Contour is a Kubernetes ingress controller using Lyft's Envoy proxy. https://projectcontour.io,10M+,0,"Monitoring & Observability, Networking, Security",projectcontour,N/A,Not Official
amazon/opendistro-for-elasticsearch-data-prepper,The Docker image for the Open Distribution for Elasticsearch Data Prepper,100K+,1,,Amazon Web Services,N/A,Not Official
bitnami/jupyterhub,Bitnami container image for JupyterHub,100K+,21,"Data Science, Machine Learning & AI, Security",VMware,N/A,Not Official
balenalib/armv7hf-node,This image is part of the balena.io base image series for IoT devices.,100K+,1,"Languages & Frameworks, Integration & Delivery, Internet of Things",balenalib,N/A,Not Official
lacework/lacework-cli,The Lacework CLI is a tool that helps you manage the Lacework cloud security platform.,100K+,1,"Integration & Delivery, Security",Lacework Inc,N/A,Not Official
rancher/os-extras,N/A,100K+,2,,Rancher by SUSE,N/A,Not Official
balenalib/intel-nuc-ubuntu-node,This image is part of the balena.io base image series for IoT devices.,100K+,0,"Languages & Frameworks, Internet of Things, Operating Systems",balenalib,N/A,Not Official
rancher/os-debianconsole,N/A,100K+,1,,Rancher by SUSE,N/A,Not Official
balenalib/imx6ul-var-dart-debian-node,This image is part of the balena.io base image series for IoT devices.,100K+,0,"Languages & Frameworks, Internet of Things, Operating Systems",balenalib,N/A,Not Official
balena/open-balena-registry,N/A,100K+,2,,balena,N/A,Not Official
balenalib/hummingboard-debian-node,This image is part of the balena.io base image series for IoT devices.,100K+,0,"Languages & Frameworks, Internet of Things, Web Servers",balenalib,N/A,Not Official
rancher/os-base,N/A,100K+,0,,Rancher by SUSE,N/A,Not Official
zabbix/zabbix-build-mysql,Zabbix build base (MySQL),100K+,5,"Monitoring & Observability, Developer Tools",Zabbix,N/A,Not Official
circleci/cassandra,This image is for internal use,100K+,0,,CircleCI,N/A,Not Official
pachyderm/mount-server,N/A,100K+,0,,Pachyderm,N/A,Not Official
balenalib/raspberrypi3-node,This image is part of the balena.io base image series for IoT devices.,100K+,2,"Languages & Frameworks, Internet of Things, Operating Systems",balenalib,N/A,Not Official
mirantis/dtr-content-cache,N/A,100K+,0,,Mirantis Inc,N/A,Not Official
rapidfort/mariadb,"RapidFort optimized, hardened image for MariaDB",100K+,23,,"RapidFort, Inc.",N/A,Not Official
longhornio/longhorn-engine,N/A,10M+,0,,Longhorn,N/A,Not Official
docker/ucp-auth-s390x,N/A,100K+,0,,"Docker, Inc.",N/A,Not Official
balenalib/artik5-node,This image is part of the balena.io base image series for IoT devices.,100K+,0,"Languages & Frameworks, Internet of Things, Operating Systems",balenalib,N/A,Not Official
docker/volumes-backup-extension,N/A,100K+,4,,"Docker, Inc.",N/A,Not Official
bitnami/argo-workflow-controller,Bitnami container image for Argo Workflow Controller,100K+,0,"Data Science, Integration & Delivery, Machine Learning & AI",VMware,N/A,Not Official
bitnamicharts/flux,Bitnami Helm chart for Flux,100K+,0,"Integration & Delivery, Monitoring & Observability",VMware,N/A,Not Official
databack/mysql-backup,Back up mysql databases to... anywhere!,10M+,122,"Databases & Storage, Integration & Delivery, Security",Databack,N/A,Not Official
balenalib/hummingboard-node,This image is part of the balena.io base image series for IoT devices.,100K+,0,"Languages & Frameworks, Internet of Things, Web Servers",balenalib,N/A,Not Official
falcosecurity/falco-no-driver,N/A,10M+,0,"Monitoring & Observability, Security",falco,N/A,Not Official
rancher/mirrored-bci-micro,N/A,100K+,0,,Rancher by SUSE,N/A,Not Official
rancher/hardened-sriov-network-operator,N/A,100K+,0,,Rancher by SUSE,N/A,Not Official
airbyte/source-bigquery,N/A,100K+,0,,Airbyte,N/A,Not Official
golift/unifi-poller,We're back! -2023,10M+,53,"Integration & Delivery, Monitoring & Observability, Networking",Go Lift,N/A,Not Official
balenalib/amd64-node,This image is part of the balena.io base image series for IoT devices.,100K+,0,"Languages & Frameworks, Integration & Delivery, Internet of Things",balenalib,N/A,Not Official
okteto/python,N/A,100K+,0,"Languages & Frameworks, Integration & Delivery",Okteto,N/A,Not Official
balenalib/imx7-var-som-debian-node,This image is part of the balena.io base image series for IoT devices.,100K+,0,"Internet of Things, Operating Systems, Web Servers",balenalib,N/A,Not Official
alpine/k8s,"Kubernetes toolbox for EKS (kubectl, helm, iam-authenticator, eksctl, etc)",10M+,57,Integration & Delivery,alpine,N/A,Not Official
rancher/os-acpid,N/A,100K+,0,,Rancher by SUSE,N/A,Not Official
mattermost/mm-ee-test,N/A,100K+,0,,"Mattermost, Inc.",N/A,Not Official
balenalib/imx6ul-var-dart-alpine-node,This image is part of the balena.io base image series for IoT devices.,100K+,0,"Languages & Frameworks, Internet of Things, Operating Systems",balenalib,N/A,Not Official
balenalib/cybertan-ze250-ubuntu-python,This image is part of the balena.io base image series for IoT devices.,100K+,0,"Languages & Frameworks, Internet of Things, Operating Systems",balenalib,N/A,Not Official
intel/pmem-csi-driver-test,A variant of pmem-csi-driver for testing.,100K+,0,"Databases & Storage, Integration & Delivery",Intel Corporation,N/A,Not Official
rancher/os-rootfs,N/A,100K+,0,,Rancher by SUSE,N/A,Not Official
bitnami/parse-dashboard,Bitnami container image for Parse Dashboard,100K+,10,"API Management, Monitoring & Observability, Security",VMware,N/A,Not Official
rancher/istio-node-agent-k8s,N/A,100K+,0,,Rancher by SUSE,N/A,Not Official
rancher/gitwatcher,N/A,100K+,0,,Rancher by SUSE,N/A,Not Official
bitnamicharts/fluentd,Bitnami Helm chart for Fluentd,100K+,0,"Integration & Delivery, Monitoring & Observability, Networking",VMware,N/A,Not Official
vmware/admiral,Container management platform,100K+,23,"Integration & Delivery, Monitoring & Observability, Networking",VMware,N/A,Not Official
kasmweb/thunderbird,Thunderbird for Kasm Workspaces,100K+,17,"Operating Systems, Security",Kasm Technologies,N/A,Not Official
google/apigee-connect-agent,N/A,100K+,0,,Google,N/A,Not Official
newrelic/cluster-api-controller,N/A,100K+,0,,New Relic,N/A,Not Official
kumahq/kubectl,N/A,100K+,0,,Kuma,N/A,Not Official
balenalib/raspberrypi3-python,This image is part of the balena.io base image series for IoT devices.,100K+,4,"Languages & Frameworks, Internet of Things, Operating Systems",balenalib,N/A,Not Official
grafana/fluent-plugin-loki,N/A,100K+,1,,Grafana Labs,N/A,Not Official
bitnami/whereabouts,Bitnami container image for Whereabouts,100K+,0,"Integration & Delivery, Networking, Security",VMware,N/A,Not Official
mirantis/ucp-kube-dns-dnsmasq-nanny,N/A,100K+,0,,Mirantis Inc,N/A,Not Official
privatebin/nginx-fpm-alpine,"PrivateBin running on an Nginx, php-fpm & Alpine Linux stack",10M+,90,"Operating Systems, Security, Web Servers",PrivateBin,N/A,Not Official
airbyte/source-declarative-manifest,N/A,100K+,0,,Airbyte,N/A,Not Official
rancher/hardened-crictl,N/A,100K+,0,,Rancher by SUSE,N/A,Not Official
litmuschaos/chaos-operator,N/A,10M+,1,"Integration & Delivery, Monitoring & Observability, Security",CNCF,N/A,Not Official
apache/solr-operator,A Kubernetes Operator to manage and maintain Solr resources,10M+,3,"Databases & Storage, Integration & Delivery, Monitoring & Observability",The Apache Software Foundation,N/A,Not Official
rancher/storage-efs,N/A,100K+,0,,Rancher by SUSE,N/A,Not Official
rancher/longhornio-longhorn-engine,N/A,100K+,0,,Rancher by SUSE,N/A,Not Official
balenalib/aarch64-debian-node,This image is part of the balena.io base image series for IoT devices.,100K+,0,"Languages & Frameworks, Internet of Things, Operating Systems",balenalib,N/A,Not Official
rancher/network-policy-manager,N/A,100K+,0,,Rancher by SUSE,N/A,Not Official
jetbrains/teamcity-minimal-agent,TeamCity Minimal Build Agent,100K+,76,Integration & Delivery,JetBrains,N/A,Not Official
mattermost/mattermost-build-server,Image used to build Mattermost. Used mostly by the CIs pipelines,100K+,0,"Languages & Frameworks, Integration & Delivery","Mattermost, Inc.",N/A,Not Official
mirantis/ucp-kube-dns-sidecar,N/A,100K+,0,,Mirantis Inc,N/A,Not Official
alpine/curl,N/A,10M+,6,,alpine,N/A,Not Official
mirantis/ucp-kube-dns,N/A,100K+,0,,Mirantis Inc,N/A,Not Official
mattermost/mattermost-build-webapp,The Docker image by CI to build the Mattermost Webapp.,100K+,0,"Languages & Frameworks, Integration & Delivery","Mattermost, Inc.",N/A,Not Official
balenalib/artik10-ubuntu-node,This image is part of the balena.io base image series for IoT devices.,100K+,0,"Languages & Frameworks, Internet of Things, Operating Systems",balenalib,N/A,Not Official
pingidentity/pingdirectoryproxy,"A fast, scalable, and easy-to-use LDAP proxy server that provides HA for PingDirectory",100K+,2,"Monitoring & Observability, Networking, Security",Ping Identity,N/A,Not Official
balenalib/armv7hf-alpine,This image is part of the balena.io base image series for IoT devices.,100K+,5,"Internet of Things, Operating Systems, Security",balenalib,N/A,Not Official
balenalib/artik530-ubuntu-node,This image is part of the balena.io base image series for IoT devices.,100K+,0,"Languages & Frameworks, Internet of Things, Operating Systems",balenalib,N/A,Not Official
balenalib/generic-armv7ahf-node,This image is part of the balena.io base image series for IoT devices.,100K+,0,"Languages & Frameworks, Internet of Things, Operating Systems",balenalib,N/A,Not Official
bitnami/spring-cloud-dataflow-composed-task-runner,Bitnami container image for SCDF Composed Task Runner,100K+,0,"Data Science, Languages & Frameworks, Integration & Delivery",VMware,N/A,Not Official
balenalib/intel-edison-alpine-python,This image is part of the balena.io base image series for IoT devices.,100K+,1,"Languages & Frameworks, Internet of Things, Operating Systems",balenalib,N/A,Not Official
balenalib/artik5-debian-node,This image is part of the balena.io base image series for IoT devices.,100K+,0,"Languages & Frameworks, Internet of Things, Operating Systems",balenalib,N/A,Not Official
balenalib/jetson-tx2-alpine-node,This image is part of the balena.io base image series for IoT devices.,100K+,0,"Languages & Frameworks, Internet of Things, Machine Learning & AI",balenalib,N/A,Not Official
rancher/mirrored-sig-storage-csi-resizer,N/A,100K+,0,,Rancher by SUSE,N/A,Not Official
datadog/dogstatsd-dev,Development builds for DogStatsD 6,100K+,0,,Datadog,N/A,Not Official
rancher/hardened-sriov-network-webhook,N/A,100K+,0,,Rancher by SUSE,N/A,Not Official
docker/for-desktop-kernel,The kernel used in some Docker Desktop releases,100K+,3,"Integration & Delivery, Operating Systems, Security","Docker, Inc.",N/A,Not Official
vmware/clair-photon,N/A,100K+,0,,VMware,N/A,Not Official
newrelic/ohaik,This is a BETA release,100K+,4,,New Relic,N/A,Not Official
mailcow/dockerapi,https://mailcow.email,10M+,4,"API Management, Integration & Delivery, Security",The Infrastructure Company GmbH,N/A,Not Official
falcosecurity/falcosidekick,A simple daemon to help you with falco's outputs.,10M+,2,"Monitoring & Observability, Security",falco,N/A,Not Official
onlyoffice/mailserver,Full-featured mail server solution developed on the base of the iRedMail,100K+,33,"Integration & Delivery, Networking, Security",Ascensio System SIA,N/A,Not Official
docker/v1.10-migrator,Prepare docker graph directory for content addressability,100K+,8,"Databases & Storage, Integration & Delivery, Operating Systems","Docker, Inc.",N/A,Not Official
jetbrains/qodana-jvm,Qodana for JVM projects,100K+,7,"Languages & Frameworks, Integration & Delivery, Security",JetBrains,N/A,Not Official
mailcow/watchdog,https://mailcow.email,10M+,4,Developer Tools,The Infrastructure Company GmbH,N/A,Not Official
balenalib/armv7hf-alpine-python,This image is part of the balena.io base image series for IoT devices.,100K+,1,"Languages & Frameworks, Internet of Things, Operating Systems",balenalib,N/A,Not Official
docker/ucp-secureoverlay-agent,Per-node agent for UCP secure overlay for Kubernetes,100K+,0,"Networking, Security","Docker, Inc.",N/A,Not Official
balenalib/beaglebone-pocket-alpine-node,This image is part of the balena.io base image series for IoT devices.,100K+,0,"Languages & Frameworks, Internet of Things, Operating Systems",balenalib,N/A,Not Official
camunda/connectors-bundle-saas,Camunda out-of-the-box Connectors Bundle for SaaS,100K+,0,"API Management, Integration & Delivery, Monitoring & Observability",camunda services GmbH,N/A,Not Official
kumahq/kumactl,N/A,100K+,0,,Kuma,N/A,Not Official
balenalib/raspberrypi3-alpine-node,This image is part of the balena.io base image series for IoT devices.,100K+,3,"Languages & Frameworks, Internet of Things, Operating Systems",balenalib,N/A,Not Official
circleci/java,This image is for internal use,100K+,2,,CircleCI,N/A,Not Official
balenalib/amd64-ubuntu-golang,This image is part of the balena.io base image series for IoT devices.,100K+,1,"Languages & Frameworks, Integration & Delivery, Operating Systems",balenalib,N/A,Not Official
apachepulsar/pulsar,Apache Pulsar - Distributed pub/sub messaging system,10M+,94,"Integration & Delivery, Internet of Things, Message Queues",apachepulsar,N/A,Not Official
google/apigee-hybrid-cassandra-client,N/A,100K+,0,,Google,N/A,Not Official
docker/ucp-secureoverlay-mgr,Cluster manager for UCP secure overlay for Kubernetes,100K+,0,"Networking, Security","Docker, Inc.",N/A,Not Official
onlyoffice/controlpanel,N/A,100K+,2,,Ascensio System SIA,N/A,Not Official
balenalib/intel-nuc-debian,This image is part of the balena.io base image series for IoT devices.,100K+,0,"Internet of Things, Networking, Operating Systems",balenalib,N/A,Not Official
airbyte/workload-api-server,N/A,100K+,0,,Airbyte,N/A,Not Official
rocker/rstudio,RStudio Server image,10M+,447,"Data Science, Languages & Frameworks, Integration & Delivery",rocker,N/A,Not Official
rancher/os-kernel,N/A,100K+,0,,Rancher by SUSE,N/A,Not Official
datadog/ci,Use Datadog from your CI,100K+,2,,Datadog,N/A,Not Official
tenable/nessus,Official Nessus Scanner,100K+,29,"Integration & Delivery, Security","Tenable, Inc.",N/A,Not Official
hashicorp/jsii-terraform,Image for building CDK for Terraform. Includes JSII and Terraform.,100K+,2,"Languages & Frameworks, Integration & Delivery","HashiCorp, Inc.",N/A,Not Official
vmware/vcsim,Official images for govmomi/vcsim,100K+,8,Developer Tools,VMware,N/A,Not Official
shlinkio/shlink,A self-hosted and PHP-based URL shortener application with CLI and REST interfaces,10M+,48,,shlinkio,N/A,Not Official
balenalib/jetson-tx1-alpine-node,This image is part of the balena.io base image series for IoT devices.,100K+,0,"Languages & Frameworks, Internet of Things, Machine Learning & AI",balenalib,N/A,Not Official
balenalib/aarch64-node,This image is part of the balena.io base image series for IoT devices.,100K+,0,"Languages & Frameworks, Internet of Things, Operating Systems",balenalib,N/A,Not Official
jenkins4eval/jnlp-agent-maven,N/A,10M+,0,,Jenkins project,N/A,Not Official
rancher/longhornio-csi-resizer,N/A,100K+,0,,Rancher by SUSE,N/A,Not Official
mongodb/mongodb-atlas-search,"Atlas Search gives you a seamless, scalable experience for building relevance-based app features.",100K+,3,,MongoDB,N/A,Not Official
mongodb/mongodb-atlas-local,"Create, manage, and automate MongoDB Atlas Local resources from docker",100K+,1,Databases & Storage,MongoDB,N/A,Not Official
balenalib/artik530-node,This image is part of the balena.io base image series for IoT devices.,100K+,0,"Languages & Frameworks, Integration & Delivery, Internet of Things",balenalib,N/A,Not Official
